gpu_layers,threads,temperature,top_p,max_tokens,load_time,load_ram,load_vram,gen_time,tokens,speed,gen_ram,gen_vram,max_vram,error,response
5,6,0.7,0.7,100,2.093852996826172,5593.40234375,0.0,0,0,0,5593.40625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.7,0.8,50,2.073296070098877,5595.37109375,0.0,0,0,0,5595.37109375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.7,0.8,100,2.115109443664551,5595.69921875,0.0,0,0,0,5595.69921875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.7,0.9,50,2.1559391021728516,5593.3671875,0.0,0,0,0,5593.3671875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.7,0.9,100,2.068065643310547,5594.45703125,0.0,0,0,0,5594.45703125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.5,0.7,50,2.0716230869293213,5594.3828125,0.0,0,0,0,5594.3828125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.5,0.7,100,2.101592779159546,5593.8046875,0.0,0,0,0,5593.828125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.5,0.8,50,2.068052291870117,5595.12890625,0.0,0,0,0,5595.13671875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.5,0.8,100,2.1032588481903076,5595.5,0.0,0,0,0,5595.5078125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.5,0.9,50,2.133960723876953,5595.82421875,0.0,0,0,0,5595.82421875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.5,0.9,100,2.0771052837371826,5595.8671875,0.0,0,0,0,5595.8671875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.6,0.7,50,2.095254898071289,5596.078125,0.0,0,0,0,5596.078125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.6,0.7,100,2.124241352081299,5596.18359375,0.0,0,0,0,5596.18359375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.6,0.8,50,2.0626375675201416,5596.30078125,0.0,0,0,0,5596.30078125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.6,0.8,100,2.054039716720581,5596.34765625,0.0,0,0,0,5596.34765625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.6,0.9,50,2.1057288646698,5596.3515625,0.0,0,0,0,5596.3515625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.6,0.9,100,2.145569086074829,5596.46875,0.0,0,0,0,5596.46875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.7,0.7,50,2.0407605171203613,5596.484375,0.0,0,0,0,5596.51171875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.7,0.7,100,2.035640001296997,5596.50390625,0.0,0,0,0,5596.50390625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.7,0.8,50,2.0577831268310547,5596.63671875,0.0,0,0,0,5596.63671875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.7,0.8,100,2.0438883304595947,5593.984375,0.0,0,0,0,5593.98828125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.7,0.9,50,1.9316151142120361,5594.9453125,0.0,0,0,0,5594.9453125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
10,2,0.7,0.9,100,2.2064430713653564,5595.234375,0.0,0,0,0,5595.26171875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
