line_no,news_id,source,title,old_decision,new_decision,new_category,new_risk_tier,changed,new_reason_codes
16403,52ccd8bfa7af28e4cc0e8c2b7832ee7e,TASS,В Нижегородской области отменили беспилотную опасность,hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
16501,9a42a4fd03ef687270fe0eb1a5553d03,TASS,"Херсонщина заняла второе место по РФ по доле жителей, которые занимаются спортом",hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
16502,a8ae555f25f0b8cbd3b08e4ca3f9e37b,TASS,"Янчук считает, что теннисистка Корнеева близка к элите",hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
16503,14750f8f0520b76be5789d8fc568ac11,TASS,Сальдо не исключил формирование новых БАРС для защиты Херсонской области,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16504,df18463049a06902f2de191ab92bdcbf,TASS,"Пловец Муратов рассказал, что иностранные волонтеры помогали ему на ЧЕ",hard_block,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16505,7fef47ef5d5262e782d9c0ae9b3a3f11,TASS,На юго-западе Москвы реабилитируют Нижний Афонинский пруд,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16601,15b10c882f0cf0a95a12679d3a732a4b,TASS,Сальдо поручил МинТЭК Херсонщины обеспечить регион трехкратным запасом угля,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16602,d8ef4f645490c240a0436b924ce480f3,TASS,Тренер Беляев объяснил недовольство российских пловцов едой на ЧЕ,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
16603,cf4442c4c097373650b05f225214ba6d,TASS,"Вучич заявил, что не обсуждал с Зеленским военное сотрудничество",allow,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16604,aa174192b2e90a4dc1f621231b32f73c,TASS,Сальдо поручил организовать к зиме пункты обогрева в округах Херсонщины,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16605,b8d3cb2aa9fc98b48492c60cf5a55daf,TASS,Ход СВО. Сводка Минобороны РФ на 8 августа,hard_block,hard_block,WAR_OPERATIONAL,red,True,сво
16606,b629c76ffa17c8760f37cbaf18d7e077,TASS,Ректор РМАНПО: молодой врач не останется один,allow,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16615,9007361dec72d6a161edcc77e53af08b,TASS,"Омбудсмен Украины заявил, что ТЦК массово лишают мужчин прав на отсрочку",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16701,f611ee7acaf29d724323aa1d421bcdd9,TASS,"Юрист Сикач: ""Яблоко"" лишится эфира на федеральных каналах при снятии списка",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16702,360cb5c61cf35f7e2902f2897f575c31,TASS,Тренер российских пловцов рассказал о легком недомогании спортсменов на ЧЕ,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
16703,c8f69d02811df0f20daa88b30d205168,TASS,Все месторождения нефти Ирака готовы возобновить производство на прежнем уровне,allow,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16704,6171f956a6d512dd531b89691ef48ee4,TASS,В ДНР рецидивист без паспорта 12 лет выдавал себя за чешского добровольца,hard_block,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16705,75581c33036c0fa4df134d8026060bb6,TASS,Судно нефтяной компании ADNOC атаковали ракеты в Ормузском проливе,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16706,42d69bab79500041e43e311969247209,TASS,Плющенко рад возвращению российских фигуристов на международную арену,allow,hard_block,SPORT_BLOCKED,red,True,manual_sport_hard_block
16801,bb78edb04e0c41bfc77c030ca1c6d06d,TASS,В Калмыкии в ДТП погиб человек,skip,allow,,green,True,"out_of_scope:crime,green_forced_to_allow"
16802,9b82089d2a66d25ecdc739985806a635,TASS,"Собянин рассказал, где создают оборудование для обновления поездов метро Москвы",hard_block,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16901,8452a386ff83313cfdde29a889d99d85,TASS,Сальдо поручил усилить работу по физической защите энергообъектов Херсонщины,allow,allow,,green,False,primary:labor_economy
17001,ad29dd134e558fadc3a9664a984998ec,TASS,"Глава ""Консорциум БАС"": небо не будет заполнено дронами, как дороги машинами",review,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
